description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
This is a serious effort. Wait until the last couple of weeks in your plan to try this one.,1,600,50,65,%,,,,,,
,1,120,72,72,%,,,,,,
,1,120,114,114,%,,,,,,
,1,120,72,72,%,,,,,,
,1,180,114,114,%,,,,,,
,1,120,72,72,%,,,,,,
,1,240,95,95,%,,,,,,
,1,120,72,72,%,,,,,,
,1,180,114,114,%,,,,,,
,1,120,72,72,%,,,,,,
,1,120,114,114,%,,,,,,
,1,120,72,72,%,,,,,,
,1,60,160,160,%,,,,,,
,1,300,72,72,%,,,,,,
,1,600,72,55,%,,,,,,
