description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Are you ready punk? Think you can do THE. MEGA? I doubt it.,1,2100,55,72,%,,,,,,
,10,60,87,87,%,105,60,83,83,%,85
,1,300,72,72,%,,,,,,
,1,300,95,95,%,,,,,,
,1,180,72,72,%,,,,,,
,1,300,95,95,%,,,,,,
,6,60,87,87,%,105,60,83,83,%,85
,1,300,114,114,%,,,,,,
,1,300,72,72,%,,,,,,
,1,720,87,87,%,,,,,,
,1,600,72,72,%,,,,,,
,1,720,87,87,%,,,,,,
,1,600,72,72,%,,,,,,
,1,1080,95,95,%,,,,,,
,1,600,72,72,%,,,,,,
,1,30,160,160,%,,,,,,
,1,300,72,72,%,,,,,,
,1,30,160,160,%,,,,,,
,1,300,72,72,%,,,,,,
,1,30,160,160,%,,,,,,
,1,300,72,72,%,,,,,,
,1,900,72,55,%,,,,,,
