description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Quite often before settling into a long tempo effort, we are required to perform multiple surges. In today's session the focus is on completing long tempo efforts. However, each tempo effort is preceded by multiple high power accelerations.",1,360,45,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,50,90,%,,,,,,
,1,240,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,4,30,65,65,%,,15,170,170,%,
,1,600,92,92,%,,,,,,
,1,240,50,50,%,,,,,,
,4,30,65,65,%,,15,170,170,%,
,1,600,91,91,%,,,,,,
,1,300,50,50,%,,,,,,
