description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This session is all about Fast legs, fast breathing, fast heart rate and getting a quick fix workout in.These workouts have been designed and tested by some of the best cyclists in the world. Olympians and World Champions such as Sir Bradley Wiggins, Fabian Cancellara, Dame Sarah Storey and Kristin Armstrong.",1,180,35,55,%,,,,,,
,1,10,225,225,%,,,,,,
,1,160,88,88,%,,,,,,
,1,10,225,225,%,,,,,,
,1,150,55,55,%,,,,,,
,1,10,225,225,%,,,,,,
,1,160,88,88,%,,,,,,
,1,10,225,225,%,,,,,,
,1,150,55,55,%,,,,,,
,1,10,225,225,%,,,,,,
,1,160,88,88,%,,,,,,
,1,10,225,225,%,,,,,,
,1,150,55,55,%,,,,,,
,1,10,225,225,%,,,,,,
,1,160,88,88,%,,,,,,
,1,10,225,225,%,,,,,,
,1,120,55,35,%,,,,,,
