description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Everyone knows climbing hills improves your muscle strength and speed. Combine them with a short tempo run and you'll not only challenge your cardiovascular system, you'll strengthen your glutes and improve your running efficiency overall. Making you the king or queen of the virtual mountain.",1,480,65,80,%,,,,,,
,1,120,70,70,%,,,,,,
,1,60,85,85,%,,,,,,
,1,180,90,90,%,,,,,,
,1,120,70,70,%,,,,,,
,1,60,85,85,%,,,,,,
,1,180,90,90,%,,,,,,
,1,120,70,70,%,,,,,,
,1,60,85,85,%,,,,,,
,1,180,90,90,%,,,,,,
,1,240,75,70,%,,,,,,
