description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Mattias Thyr,1,300,25,75,%,,,,,,
,1,420,95,95,%,55,,,,,
,1,60,87,87,%,90,,,,,
,1,300,105,105,%,90,,,,,
,1,60,87,87,%,90,,,,,
,1,180,95,95,%,110,,,,,
,1,60,87,87,%,90,,,,,
,1,60,40,40,%,,,,,,
,1,180,95,95,%,110,,,,,
,1,60,87,87,%,90,,,,,
,1,300,105,105,%,90,,,,,
,1,60,87,87,%,90,,,,,
,1,420,95,95,%,55,,,,,
,1,60,87,87,%,90,,,,,
,1,60,40,40,%,,,,,,
,1,300,105,105,%,110,,,,,
,1,300,75,25,%,,,,,,
