description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This series of workouts have been curated by 4-time champion Annika Langvad. These workouts are tailored specifically for mountain bikers and will tackle areas of fitness that will dramatically aid you out on the trails.These workouts are designed to be done over a 6-8 week period (2-3 workouts per week) and supplemented with technical mountain biking outdoors if possible.In Denmark Annika often uses an indoor trainer and Zwift to give her an extra edge and get the most out of the time available to train. Her knowledge and expertise will be invaluable in your training during this series.This first workout of sixteen is a relatively easy start to break you in, with a focus on building endurance. Three blocks of increasing intensity until you have just reached Z4.",1,360,44,65,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,76,76,%,,,,,,
,1,180,87,87,%,,,,,,
,1,120,100,100,%,,,,,,
,1,300,50,50,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,76,76,%,,,,,,
,1,180,87,87,%,,,,,,
,1,120,100,100,%,,,,,,
,1,300,50,50,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,76,76,%,,,,,,
,1,180,87,87,%,,,,,,
,1,120,100,100,%,,,,,,
,1,300,51,51,%,,,,,,
