description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"After warming up you will be completing 2 x 11min 'progressive' intervals. Starting out with a comfortable sub-threshold effort, you will finish with a 1min above threshold effort.Finally the session is completed with a 10min steady threshold effort.After completing 2 progressive intervals, the final effort should feel relatively comfortable.",1,180,50,50,%,,,,,,
,2,60,75,75,%,90,60,50,50,%,80
,2,60,90,90,%,95,60,50,50,%,80
,1,180,50,50,%,,,,,,
,1,360,83,83,%,90,,,,,
,1,240,98,98,%,90,,,,,
,1,60,109,109,%,90,,,,,
,1,300,50,50,%,,,,,,
,1,360,83,83,%,90,,,,,
,1,240,98,98,%,90,,,,,
,1,60,109,109,%,90,,,,,
,1,300,50,50,%,,,,,,
,1,600,95,95,%,90,,,,,
,1,300,50,50,%,,,,,,
