description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Paul Mack,1,120,60,60,%,,,,,,
,1,20,70,70,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,80,80,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,90,90,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,90,90,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,100,100,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,110,110,%,,,,,,
,1,60,45,45,%,,,,,,
,1,120,60,60,%,,,,,,
,1,20,120,120,%,,,,,,
,1,60,45,45,%,,,,,,
,4,120,110,110,%,,180,95,95,%,
,1,300,55,55,%,,,,,,
,4,180,110,110,%,,120,95,95,%,
,1,300,55,55,%,,,,,,
,1,267,90,90,%,,,,,,
,1,267,80,80,%,,,,,,
,1,267,70,70,%,,,,,,
,1,267,60,60,%,,,,,,
