description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"It's no secret that Team Jumbo-Visma is a force to be reckoned with in the women's peloton. With athletes like Marianne Vos, Anna Henderson, and Coryn Labecki highlighting the team, there's no wonder why! Today we will be doing a crucial workout for the team, and the type of workout that is crucial for all cyclists, a recovery ride! This ride is cadence focused, so don't forget to bring your RPM's!",1,180,55,65,%,,,,,,
,4,30,72,72,%,105,30,65,65,%,90
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,360,74,74,%,70,,,,,
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,40,72,72,%,95,,,,,
,1,40,74,74,%,100,,,,,
,1,40,76,76,%,105,,,,,
,1,40,78,78,%,110,,,,,
,1,40,80,80,%,115,,,,,
,1,40,82,82,%,120,,,,,
,1,360,74,74,%,70,,,,,
,1,120,65,55,%,,,,,,
