description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching (via TrainingPeaks),1,240,40,40,%,,,,,,
,1,300,65,65,%,,,,,,
,1,180,80,80,%,,,,,,
,1,120,55,55,%,,,,,,
,1,300,93,93,%,,,,,,
,1,240,88,88,%,,,,,,
,1,120,75,75,%,,,,,,
,1,300,93,93,%,,,,,,
,1,240,88,88,%,,,,,,
,1,120,75,75,%,,,,,,
,1,300,93,93,%,,,,,,
,1,240,88,88,%,,,,,,
,1,120,75,75,%,,,,,,
,1,300,93,93,%,,,,,,
,1,240,88,88,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,55,35,%,,,,,,
