description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Kurt Maw | GC Coaching (via TrainingPeaks),1,300,40,60,%,,,,,,
,1,300,60,60,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,180,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,300,60,60,%,,,,,,
,1,300,50,30,%,,,,,,
