description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"After a long tempo effort to deplete your energy reserves, take on a series of sustained VO2max intervals. VO2max is a hard zone to work in any time, but it is that much harder for the tempo work that preceded it.",1,180,50,50,%,,,,,,
,3,30,90,90,%,,60,60,60,%,
,1,150,72,72,%,,,,,,
,1,1800,82,82,%,,,,,,
,1,120,117,117,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,117,117,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,117,117,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,75,50,%,,,,,,
