description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Bex Rimmington,1,600,40,74,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,20,125,125,%,,,,,,
,1,40,65,65,%,,,,,,
,1,300,77,77,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,108,108,%,,,,,,
,1,90,49,49,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,108,108,%,,,,,,
,1,90,50,50,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,108,108,%,,,,,,
,1,90,50,50,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,108,108,%,,,,,,
,1,90,50,50,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,108,108,%,,,,,,
,1,90,50,50,%,,,,,,
,1,600,80,80,%,,,,,,
,1,300,74,35,%,,,,,,
