description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Louise Minchin,1,720,40,75,%,85,,,,,
,1,60,68,68,%,63,,,,,
,1,120,78,78,%,63,,,,,
,1,180,88,88,%,63,,,,,
,1,240,105,105,%,63,,,,,
,1,120,55,55,%,85,,,,,
,1,60,68,68,%,63,,,,,
,1,120,78,78,%,63,,,,,
,1,180,88,88,%,63,,,,,
,1,240,105,105,%,63,,,,,
,1,120,55,55,%,85,,,,,
,1,60,68,68,%,63,,,,,
,1,120,78,78,%,63,,,,,
,1,180,88,88,%,63,,,,,
,1,240,105,105,%,63,,,,,
,1,120,55,55,%,85,,,,,
,1,720,75,45,%,85,,,,,
