description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Steve Clark - www.offthatcouchfitness.co.uk,1,300,40,65,%,,,,,,
,1,300,65,65,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,180,87,87,%,,,,,,
,1,180,95,95,%,,,,,,
,1,180,107,107,%,,,,,,
,1,15,125,125,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,180,87,87,%,,,,,,
,1,180,95,95,%,,,,,,
,1,180,107,107,%,,,,,,
,1,15,125,125,%,,,,,,
,1,180,50,50,%,,,,,,
,1,180,75,75,%,,,,,,
,1,180,80,80,%,,,,,,
,1,180,87,87,%,,,,,,
,1,180,95,95,%,,,,,,
,1,180,107,107,%,,,,,,
,1,15,125,125,%,,,,,,
,1,300,60,45,%,,,,,,
