description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Direct Power Coaching (Zwift Fitness),1,600,25,75,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,120,120,%,,,,,,
,1,600,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,45,120,120,%,,,,,,
,1,300,75,25,%,,,,,,
