description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Begin with a good warmup (this is a tough session, so ensure you warm up well). Ensure you are fuelled and hydrated throughout with a good airflow. Don't bail! It gets mentally easier as the efforts get shorter!",1,1200,25,90,%,,,,,,
,1,300,65,65,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,65,65,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,65,65,%,,,,,,
,1,600,86,25,%,,,,,,
