description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Zee Kryder,1,480,43,72,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,61,61,%,,,,,,
,1,120,76,76,%,,,,,,
,1,180,61,61,%,,,,,,
,1,30,91,91,%,,,,,,
,1,120,55,55,%,,,,,,
,1,180,69,69,%,,,,,,
,1,120,62,62,%,,,,,,
,1,180,76,76,%,,,,,,
,1,30,92,92,%,,,,,,
,1,120,55,55,%,,,,,,
,1,120,76,76,%,,,,,,
,1,120,64,64,%,,,,,,
,1,120,76,76,%,,,,,,
,1,60,90,90,%,,,,,,
,1,120,61,61,%,,,,,,
,1,300,0,0,0,,,,,,
