description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"TEMPO INTO SPRINTS #1-----WU:10-15 Min increasing power through Power Zone 1 and 2. Include 3 x 6 Sec high cadence / low power sprints during warm up period.-----MS1:10 Min Tempo interval leading into maximal sprintsTARGET: Power Zone 3CADENCE: 90-100rpmImmediately 10 Min Tempo is completed, perform the following sprint efforts60 Sec On / 60 Sec recovery30 Sec On / 30 Sec recovery15 Sec On / 45 Sec recovery10 Sec Max CADENCE: 100+rpm",1,600,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,600,85,85,%,,,,,,
,1,60,120,120,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,160,160,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,180,180,%,,,,,,
,1,45,55,55,%,,,,,,
,1,10,200,200,%,,,,,,
,1,600,55,55,%,,,,,,
,1,600,85,85,%,,,,,,
,1,60,121,121,%,,,,,,
,1,60,55,55,%,,,,,,
,1,30,160,160,%,,,,,,
,1,30,55,55,%,,,,,,
,1,15,180,180,%,,,,,,
,1,45,55,55,%,,,,,,
,1,10,200,200,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,75,50,%,,,,,,
