description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Simulating long climbs that require an increase in power as the effort goes on.But each tempo interval finishes with an above threshold effort.The target cadence throughout the tempo portion decreases. Position yourself on the bike as if climbing, sitting on the back of the seat.",1,600,50,75,%,,,,,,
,1,240,76,76,%,,,,,,
,1,240,79,79,%,85,,,,,
,1,240,83,83,%,80,,,,,
,1,240,86,86,%,75,,,,,
,1,240,91,91,%,70,,,,,
,1,30,150,150,%,,,,,,
,1,300,55,55,%,,,,,,
,1,180,76,76,%,,,,,,
,1,180,79,79,%,85,,,,,
,1,180,83,83,%,80,,,,,
,1,180,86,86,%,75,,,,,
,1,180,90,90,%,70,,,,,
,1,300,104,104,%,,,,,,
,1,300,75,50,%,,,,,,
