description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Got 30 minutes? Make it count with Emily's Short Mix, a workout designed to get maximal results from minimal time. You'll go through three sets of intervals that ramp the intensity, with each series getting both harder and longer. It won't be easy, but at least it'll be over soon!",1,180,45,85,%,,,,,,
,1,180,85,85,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,90,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,120,100,100,%,,,,,,
,1,120,115,115,%,,,,,,
,1,90,75,75,%,,,,,,
,1,180,85,85,%,,,,,,
,1,180,100,100,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,75,40,%,,,,,,
