description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Time to challenge your ability to complete High Intensity efforts after first accumulating some time at sweet spot.In this session you will complete 2 x 12min sweet spot efforts before finishing with 4 x 1min VO2max efforts.The more efficient you are in the 12min efforts...The better your VO2 max efforts will be!,1,300,50,50,%,,,,,,
,2,10,175,175,%,110,50,50,50,%,80
,1,120,50,50,%,85,,,,,
,1,60,109,109,%,95,,,,,
,1,120,50,50,%,85,,,,,
,1,180,100,100,%,95,,,,,
,1,180,50,50,%,85,,,,,
,2,720,91,91,%,95,180,61,61,%,80
,4,60,106,106,%,95,120,50,50,%,80
,1,180,50,50,%,85,,,,,
