description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Intervals that look like a wave. Surfs Up! ""Hang ten, brotha!""",1,300,25,60,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,95,95,%,90,,,,,
,1,120,80,80,%,90,,,,,
,1,60,110,110,%,90,,,,,
,1,120,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,120,60,60,%,85,,,,,
,1,60,95,95,%,60,,,,,
,1,120,80,80,%,60,,,,,
,1,60,110,110,%,60,,,,,
,1,120,80,80,%,60,,,,,
,1,60,95,95,%,60,,,,,
,1,120,60,60,%,85,,,,,
,1,60,95,95,%,90,,,,,
,1,120,80,80,%,90,,,,,
,1,60,110,110,%,90,,,,,
,1,120,80,80,%,90,,,,,
,1,60,95,95,%,90,,,,,
,1,120,60,60,%,85,,,,,
,1,60,95,95,%,60,,,,,
,1,120,80,80,%,60,,,,,
,1,60,110,110,%,60,,,,,
,1,120,80,80,%,60,,,,,
,1,60,95,95,%,60,,,,,
,1,120,60,60,%,85,,,,,
,1,60,95,95,%,100,,,,,
,1,120,80,80,%,,,,,,
,1,60,110,110,%,110,,,,,
,1,120,80,80,%,,,,,,
,1,60,95,95,%,90,,,,,
,1,120,60,60,%,85,,,,,
,1,300,60,25,%,,,,,,
