description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Dame Sarah Storey, DBE, with a total of fourteen Paralympic gold medals, makes her the most successful female British Paralympian of all time! This workout will take you through what it feels like to tackle the individual pursuit on the track, which Dame Storey is known for. Be ready for a hard start and an even harder finish!",1,300,55,75,%,,,,,,
,1,15,90,90,%,90,45,65,65,%,85
,1,15,100,100,%,100,45,65,65,%,85
,1,15,110,110,%,110,45,65,65,%,85
,1,120,55,55,%,85,,,,,
,3,15,150,150,%,110,45,65,65,%,85
,1,120,55,55,%,,,,,,
,1,30,150,102,%,,,,,,
,1,180,102,102,%,,,,,,
,1,20,0,0,0,,,,,,
,1,240,55,55,%,,,,,,
,1,30,150,102,%,,,,,,
,1,180,102,102,%,,,,,,
,1,20,0,0,0,,,,,,
,1,240,55,55,%,,,,,,
,1,30,150,102,%,,,,,,
,1,180,102,102,%,,,,,,
,1,20,0,0,0,,,,,,
,1,300,55,35,%,,,,,,
