description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This ride consists of three sets of four 2-minute, 1-minute and :30 second efforts. As the efforts get shorter in duration, the intensity increases. Throughout this session you will work from 70-100% of your FTP which ranges from a Basic Endurance to Threshold zone. There is plenty of rest prescribed throughout this 40-minute workout.",1,30,35,35,%,85,,,,,
,1,30,40,40,%,85,,,,,
,1,30,45,45,%,85,,,,,
,1,30,50,50,%,85,,,,,
,1,45,55,55,%,85,,,,,
,1,45,60,60,%,85,,,,,
,1,45,65,65,%,85,,,,,
,1,45,70,70,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,120,75,75,%,85,60,55,55,%,85
,1,120,75,75,%,85,60,55,55,%,85
,1,120,75,75,%,85,60,55,55,%,85
,1,120,75,75,%,85,60,55,55,%,85
,1,120,55,55,%,85,,,,,
,1,60,85,85,%,85,60,55,55,%,85
,1,60,85,85,%,85,60,55,55,%,85
,1,60,85,85,%,85,60,55,55,%,85
,1,60,85,85,%,85,60,55,55,%,85
,1,120,55,55,%,85,,,,,
,1,30,95,95,%,85,45,55,55,%,85
,1,30,95,95,%,85,45,55,55,%,85
,1,30,95,95,%,85,45,55,55,%,85
,1,30,95,95,%,85,45,55,55,%,85
,1,60,60,60,%,85,,,,,
,1,60,55,55,%,85,,,,,
,1,60,50,50,%,85,,,,,
,1,60,45,45,%,85,,,,,
,1,60,40,40,%,85,,,,,
