description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout contains a block of Zone 3 just like the first workout, to give you that familiarity and confidence ahead of some more intense efforts. Today, you will complete 6 x 20 second sprints - something that may be alien to you, however the rewards are great!",1,300,40,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,89,89,%,,,,,,
,1,120,40,40,%,,,,,,
,1,20,170,170,%,,,,,,
,1,120,50,50,%,,,,,,
,1,20,170,170,%,,,,,,
,1,120,50,50,%,,,,,,
,1,20,170,170,%,,,,,,
,1,120,50,50,%,,,,,,
,1,20,170,170,%,,,,,,
,1,120,50,50,%,,,,,,
,1,20,170,170,%,,,,,,
,1,120,50,50,%,,,,,,
,1,20,170,170,%,,,,,,
,1,300,70,40,%,,,,,,
