description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"As the name suggests, maximal aerobic intervals are high intensity efforts where the majority (not all) of the power produced comes from aerobic energy pathways.Generally, athletes who excel in this area are able to climb and Time Trial well. On it's own, max aerobic interval training is an effective method to increase fitness. However, max aerobic power is also a good indication of an athletes potential.In today's session we focus on 4min max aerobic efforts. You will be guided through the early intervals before completing a 4min 'best effort' to complete the set.",1,300,45,75,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,125,125,%,,,,,,
,1,180,55,55,%,,,,,,
,1,300,95,95,%,,,,,,
,1,300,50,50,%,,,,,,
,1,240,106,106,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,114,114,%,,,,,,
,1,420,50,50,%,,,,,,
,1,240,0,0,0,,,,,,
,1,300,50,50,%,,,,,,
