description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout is designed to simulate steep, short hills that are almost like sprints. A combination of both anaerobic and neuromuscular power, (level 6 and 7), this workout is sure to fire you up!Warm-up 10 minutes and then do 3 x 1 minute fast pedaling drills >110rpm..  Ride at tempo pace and then do hill sprints every 3minutes. Each Sprint is 20 seconds long and building in intensity.  After each sprint, come back to tempo pace.  Cool-down.",1,600,25,75,%,,,,,,
,3,60,75,75,%,110,60,50,50,%,80
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,180,85,85,%,,,,,,
,1,20,130,200,%,,,,,,
,1,440,75,25,%,,,,,,
