description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Ian Murray - Evil Elf Racing,1,600,25,75,%,,,,,,
,1,300,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,105,105,%,,,,,,
,1,120,65,65,%,,,,,,
,1,60,116,116,%,,,,,,
,1,600,66,25,%,,,,,,
