description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Get set for the '30-20-10 Ride'! This session is a fantastic fat-burner and endurance enhancer, all wrapped up in a short, sweet package. We're talking controlled 30-second efforts, spicier 20-second pulls, and all-out 10-second sprints. Repeat 5 times with 2-minute recovery breaks. Time to feel the burn!",1,60,55,55,%,,,,,,
,1,120,68,68,%,,,,,,
,1,120,82,82,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,30,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,120,120,%,,,,,,
,1,60,60,60,%,,,,,,
,1,120,60,60,%,,,,,,
