description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Gear up for 'Stayin' Alive'! Today, we're pushing beyond our threshold for longer durations. This kind of effort is key to lifting our Functional Threshold Power to new heights. Prepare yourself for a challenge!",1,90,60,60,%,,,,,,
,1,90,70,70,%,,,,,,
,1,90,80,80,%,,,,,,
,1,90,90,90,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,110,110,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,110,110,%,,,,,,
,1,20,50,50,%,,,,,,
,1,10,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,4,15,125,125,%,,15,50,50,%,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,180,53,53,%,,,,,,
,4,15,125,125,%,,15,50,50,%,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,180,53,53,%,,,,,,
,4,15,125,125,%,,15,50,50,%,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,90,88,88,%,,,,,,
,1,75,106,106,%,,,,,,
,1,90,53,53,%,,,,,,
,1,90,55,55,%,,,,,,
