description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"It's 'Mix It Up' day! We're going to jump through different intensities with short intervals, offering an efficient and fun-filled session. We'll touch every zone and finish with smiles all around. Let's mix things up!",1,120,55,55,%,,,,,,
,1,90,65,65,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,95,95,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,3,60,80,80,%,,60,95,95,%,
,1,60,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,60,60,%,,,,,,
,1,90,80,80,%,,,,,,
,1,30,110,110,%,,,,,,
,1,90,80,80,%,,,,,,
,1,30,110,110,%,,,,,,
,1,90,80,80,%,,,,,,
,1,30,60,60,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,50,50,%,,,,,,
,4,25,150,150,%,,45,50,50,%,
,1,25,160,160,%,,,,,,
,1,180,50,50,%,,,,,,
