description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching,1,300,40,40,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,80,80,%,,,,,,
,1,30,95,95,%,,,,,,
,1,30,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,30,105,105,%,,,,,,
,1,30,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,55,55,%,,,,,,
,1,240,55,55,%,,,,,,
,6,60,80,80,%,,30,105,105,%,
,1,120,55,55,%,,,,,,
,6,60,80,80,%,,30,105,105,%,
,1,120,55,55,%,,,,,,
,6,60,80,80,%,,30,105,105,%,
,1,120,55,55,%,,,,,,
,6,60,80,80,%,,30,105,105,%,
,1,120,55,55,%,,,,,,
,1,1200,75,75,%,,,,,,
,1,360,40,40,%,,,,,,
