description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney | GC Coaching,1,120,60,60,%,,,,,,
,1,120,68,68,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,55,55,%,,,,,,
,3,30,120,120,%,,30,55,55,%,
,1,600,100,100,%,,,,,,
,1,900,65,65,%,,,,,,
,6,180,75,75,%,,20,120,120,%,
,1,900,65,65,%,,,,,,
,5,60,120,120,%,,120,55,55,%,
,1,900,65,65,%,,,,,,
,1,600,100,100,%,,,,,,
,1,300,40,40,%,,,,,,
