description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: S.Gaffney (GC Coaching),1,600,25,75,%,,,,,,
,3,30,115,115,%,,30,50,50,%,
,1,120,0,0,0,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,240,65,65,%,,,,,,
,1,30,100,300,%,,,,,,
,1,300,65,25,%,,,,,,
