description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shayne Gaffney,1,120,60,60,%,,,,,,
,1,120,68,68,%,,,,,,
,1,120,75,75,%,,,,,,
,1,120,83,83,%,,,,,,
,1,120,90,90,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,120,120,%,,,,,,
,1,30,50,50,%,,,,,,
,1,30,120,120,%,,,,,,
,1,150,50,50,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,180,115,115,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,55,55,%,,,,,,
,1,600,90,90,%,,,,,,
,1,300,55,55,%,,,,,,
,1,600,90,90,%,,,,,,
,1,600,40,40,%,,,,,,
