description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: S.Gaffney (GC Coaching),1,600,25,75,%,,,,,,
,3,30,115,115,%,,30,50,50,%,
,1,120,0,0,0,,,,,,
,1,180,110,110,%,,,,,,
,1,180,70,70,%,,,,,,
,1,240,110,110,%,,,,,,
,1,180,60,60,%,,,,,,
,1,300,110,110,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,110,110,%,,,,,,
,1,180,60,60,%,,,,,,
,1,180,110,110,%,,,,,,
,1,180,70,70,%,,,,,,
,1,180,30,30,%,,,,,,
,1,900,95,25,%,,,,,,
