description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"These are designed to be done in the saddle for the first 2minutes, then stand and do the final 30 seconds out of the saddle and sprinting over the top of the hill. Short recoveries, to help improve your ""repeatability"" at the same time.   Warm-up 10 minutes and then 3 x 1 minute fast pedaling drills >110rpmThen do 5 minutes at tempo, followed by 10 x hill repeats.   Seated for 2 minutes, then out of the saddle as the resistance becomes harder. Recover for 2minutes and then cool-down",1,600,25,75,%,,,,,,
,3,60,75,75,%,,60,50,50,%,
,1,300,81,81,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,120,65,65,%,,,,,,
,1,150,110,125,%,,,,,,
,1,600,75,25,%,,,,,,
