description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Shane Miller - GPLama,1,600,0,0,0,,,,,,
,1,60,100,100,%,,,,,,
,1,90,60,75,%,,,,,,
,1,90,75,85,%,,,,,,
,1,90,85,90,%,,,,,,
,1,90,90,95,%,,,,,,
,1,300,95,95,%,,,,,,
,1,90,95,90,%,,,,,,
,1,90,90,85,%,,,,,,
,1,90,85,75,%,,,,,,
,1,90,75,60,%,,,,,,
,1,60,100,100,%,,,,,,
,1,240,0,0,0,,,,,,
,1,60,110,110,%,,,,,,
,1,90,60,75,%,,,,,,
,1,90,75,85,%,,,,,,
,1,90,85,90,%,,,,,,
,1,90,90,95,%,,,,,,
,1,300,95,95,%,,,,,,
,1,90,95,90,%,,,,,,
,1,90,90,85,%,,,,,,
,1,90,85,75,%,,,,,,
,1,90,75,60,%,,,,,,
,1,60,110,110,%,,,,,,
