description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"A similar workout to one of the early ones from this plan - only this time we punctuate the steady intervals with some short, high intensity surges.",1,240,55,75,%,,,,,,
,1,180,75,75,%,,,,,,
,1,90,66,66,%,,,,,,
,1,10,125,125,%,,,,,,
,1,210,85,85,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,10,125,125,%,,,,,,
,1,180,95,95,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,10,125,125,%,,,,,,
,1,210,85,85,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,240,75,75,%,,,,,,
,1,90,65,65,%,,,,,,
,1,10,125,125,%,,,,,,
,1,210,85,85,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,10,125,125,%,,,,,,
,1,180,95,95,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,10,125,125,%,,,,,,
,1,210,85,85,%,,,,,,
,1,10,125,125,%,,,,,,
,1,90,65,65,%,,,,,,
,1,180,75,75,%,,,,,,
,1,120,65,45,%,,,,,,
