description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Some building 4min blocks for you today around and above threshold. You can think of them of hill ""reps"" if you'd like, or you can think of them as some good old fashioned ""4x4mins"", or whatever will get you in the head space. All you really need to worry about is the fact that you need be ready for some solid sustained efforts, but ones you can definitely hit. A solid little block of warm up and then into 4 blocks starting at 95% building up to 110%. First few will feel smooth, last one will suck a little, but you got it.",1,600,35,65,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,55,55,%,,,,,,
,1,120,70,70,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,90,90,%,,,,,,
,1,120,60,60,%,,,,,,
,1,240,95,95,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,100,100,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,105,105,%,,,,,,
,1,240,50,50,%,,,,,,
,1,240,110,110,%,,,,,,
,1,240,50,50,%,,,,,,
