description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This workout is absolutely designed as a recovery workout, but still have some ""work"" to do with a little RPM focus. The RPMs prescribed may be tough to hit, so work into it, and make sure you can do so without actually riding hard. Again, recovery focused. 3x9min blocks as 6 times through 30sec low endurance at 90 RPMs, 30sec upper endurance at 100 RPMs, 30sec tempo at 110 RPMstake 3min easy spinning between blocks",1,300,65,65,%,,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,300,55,55,%,,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,300,55,55,%,,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,30,60,60,%,90,,,,,
,1,30,70,70,%,100,,,,,
,1,30,80,80,%,110,,,,,
,1,300,55,55,%,,,,,,
