description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Here's a quick 45min workout with 5min of very high RPMs. 110 minimum for those (5) 1min blocks but if you can sustain 120, that would be great. Keep the in between pretty chipper as well, at least 90. That's going to be a solid 20min block but tack on warm up and cool down and it's 45. Bam.",1,900,55,55,%,,,,,,
,1,300,60,60,%,,,,,,
,1,60,90,90,%,110,,,,,
,1,240,60,60,%,,,,,,
,1,60,90,90,%,110,,,,,
,1,180,60,60,%,,,,,,
,1,60,90,90,%,110,,,,,
,1,120,60,60,%,,,,,,
,1,60,90,90,%,110,,,,,
,1,60,60,60,%,,,,,,
,1,60,90,90,%,110,,,,,
,1,600,45,45,%,,,,,,
