description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: HumanPowerPerformance.com,1,420,40,40,%,,,,,,
,1,300,75,75,%,,,,,,
,1,240,95,95,%,,,,,,
,1,60,120,120,%,,,,,,
,1,300,80,80,%,,,,,,
,1,240,100,100,%,,,,,,
,1,60,120,120,%,,,,,,
,1,300,85,85,%,,,,,,
,1,600,100,100,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,85,85,%,,,,,,
,1,240,100,100,%,,,,,,
,1,60,120,120,%,,,,,,
,1,300,80,80,%,,,,,,
,1,240,95,95,%,,,,,,
,1,60,120,120,%,,,,,,
,1,300,75,75,%,,,,,,
,1,600,100,100,%,,,,,,
,1,420,40,40,%,,,,,,
