description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Karen Parnell,1,900,104,128,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,10,184,184,%,,,,,,
,1,60,120,120,%,,,,,,
,1,900,128,104,%,,,,,,
