description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"You'll be right on the knife's edge from start to finish with this workout, which kicks things off with a very spicy 1-minute effort. The intervals back down from there, but you won't have much time to recover. Make it through to the finish, and you'll be well sharpened for your next ride!",1,300,25,75,%,85,,,,,
,1,60,125,125,%,110,,,,,
,1,120,100,100,%,100,,,,,
,1,90,115,115,%,105,,,,,
,1,120,98,98,%,95,,,,,
,1,120,108,108,%,100,,,,,
,1,120,95,95,%,90,,,,,
,1,120,92,92,%,95,,,,,
,1,30,0,0,0,,,,,,
,1,120,50,25,%,,,,,,
