description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Short and sweet workout that challenges your spirit. This workout is great for time crunched athletes looking for an efficient session.,1,180,70,88,%,,,,,,
,2,20,100,100,%,0,40,70,70,%,0
,1,60,65,65,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,100,100,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,100,100,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,100,100,%,,,,,,
,1,45,90,90,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,100,100,%,,,,,,
,1,15,115,115,%,,,,,,
,1,60,65,65,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,100,100,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,100,100,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,30,100,100,%,,,,,,
,1,45,90,90,%,,,,,,
,1,45,90,90,%,,,,,,
,1,30,100,100,%,,,,,,
,1,15,115,115,%,,,,,,
,1,120,78,70,%,,,,,,
