description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: T.Delfs - Momentum Cycling,1,600,40,75,%,,,,,,
,3,30,100,100,%,105,90,70,70,%,95
,1,60,75,75,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,75,75,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,80,80,%,,,,,,
,1,60,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,80,80,%,,,,,,
,1,180,55,55,%,,,,,,
,1,120,110,110,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,80,80,%,,,,,,
,1,120,95,95,%,,,,,,
,1,120,110,110,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,85,85,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,85,85,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,120,120,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,120,120,%,,,,,,
,1,540,60,50,%,,,,,,
