description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: P. Mack,1,300,50,50,%,,,,,,
,1,30,90,90,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,95,95,%,,,,,,
,1,120,50,50,%,,,,,,
,1,30,110,110,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,65,65,%,,,,,,
,1,120,80,80,%,,,,,,
,1,30,120,120,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,88,88,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,93,93,%,,,,,,
,1,300,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,120,105,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,15,50,50,%,,,,,,
,1,15,125,125,%,,,,,,
,1,495,50,50,%,,,,,,
