description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today we are looking for leg speed! Power is not the focus, so with this in mind the ""speed"" intervals are performed as a 'free-ride' section. The goal is long sprints with high cadence!",1,300,50,50,%,,,,,,
,2,10,175,175,%,,50,50,50,%,
,1,120,50,50,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,80,80,%,,,,,,
,1,120,50,50,%,,,,,,
,1,180,100,100,%,,,,,,
,1,180,50,50,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,30,0,0,0,,,,,,
,1,270,65,65,%,,,,,,
,1,240,50,50,%,,,,,,
