description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Focusing on strength endurance work by completing steady, low cadence intervals. Strength Endurance increases crank torque and therefore recruits more of your fast twitch muscle fibers. SE type work has been a staple session of riders for many years.",1,240,50,50,%,,,,,,
,4,10,160,160,%,,50,50,50,%,
,1,180,70,70,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,360,75,89,%,75,,,,,
,1,300,89,89,%,,,,,,
,1,180,50,50,%,,,,,,
,1,720,75,105,%,75,,,,,
,1,300,89,89,%,,,,,,
,1,300,50,50,%,,,,,,
