description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: C.Hui,1,600,25,75,%,,,,,,
,1,300,0,0,0,,,,,,
,5,30,120,120,%,110,30,50,50,%,65
,1,180,81,81,%,85,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,81,81,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,81,81,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,81,81,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,60,65,65,%,,,,,,
,1,180,81,81,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,180,81,81,%,,,,,,
,1,120,95,95,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,65,65,%,85,,,,,
,1,180,81,81,%,90,,,,,
,1,180,70,70,%,80,,,,,
,1,240,72,25,%,,,,,,
