description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The world-record holder of the bike in the Ironman World Championships, Wurf stepped in to fill a vacant roster spot in 2020 and instantly impressed. The Aussie put in some towering support ride performances, with his return to road cycling culminating in a grand tour appearance at the Vuelta. He provides fantastic experience and is a great presence within the team.        Do you want to build a  big engine? Today we are here to teach you how Cam built his. This workout has a main set of 3 x 10 min threshold efforts, but to shake things up you will be doing the 1st and 10th minute at a higher effort.",1,480,55,70,%,,,,,,
,3,60,110,110,%,,120,55,55,%,
,1,120,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,480,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,480,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,180,55,55,%,,,,,,
,1,60,90,90,%,,,,,,
,1,480,80,80,%,,,,,,
,1,60,90,90,%,,,,,,
,1,300,65,50,%,,,,,,
