description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
This core TT workout is aimed to increase specific strength for TT.,1,300,45,65,%,,,,,,
,1,180,68,68,%,,,,,,
,1,120,85,85,%,,,,,,
,1,60,98,98,%,,,,,,
,1,30,113,113,%,,,,,,
,1,300,53,53,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,3,20,109,109,%,,40,99,99,%,
,1,180,28,28,%,,,,,,
,1,300,75,55,%,,,,,,
