description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: J.Levison,1,30,50,50,%,,,,,,
,1,30,55,55,%,,,,,,
,1,30,60,60,%,,,,,,
,1,30,65,65,%,,,,,,
,1,30,70,70,%,,,,,,
,1,30,75,75,%,,,,,,
,1,20,120,120,%,,,,,,
,1,30,60,60,%,,,,,,
,1,20,120,120,%,,,,,,
,1,30,60,60,%,,,,,,
,1,20,125,125,%,,,,,,
,1,30,60,60,%,,,,,,
,1,20,125,125,%,,,,,,
,1,30,60,60,%,,,,,,
,1,20,130,130,%,,,,,,
,1,30,60,60,%,,,,,,
,1,20,130,130,%,,,,,,
,1,30,60,60,%,,,,,,
,1,60,50,50,%,,,,,,
,1,180,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,180,85,85,%,,,,,,
,1,60,50,50,%,,,,,,
,1,15,185,185,%,,,,,,
,1,40,50,50,%,,,,,,
,1,15,185,185,%,,,,,,
,1,40,50,50,%,,,,,,
,1,15,185,185,%,,,,,,
,1,40,50,50,%,,,,,,
,1,15,185,185,%,,,,,,
,1,40,50,50,%,,,,,,
,1,15,185,185,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,60,60,%,,,,,,
,1,90,100,100,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,105,105,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,105,105,%,,,,,,
,1,60,50,50,%,,,,,,
,1,90,100,100,%,,,,,,
,1,120,50,50,%,,,,,,
,1,240,85,85,%,,,,,,
,1,120,50,50,%,,,,,,
,5,60,110,110,%,,60,90,90,%,
,1,120,50,50,%,,,,,,
,1,275,75,55,%,,,,,,
