description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: John Levison,1,300,40,75,%,,,,,,
,1,20,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,20,115,115,%,,,,,,
,1,30,50,50,%,,,,,,
,1,20,120,120,%,,,,,,
,1,30,50,50,%,,,,,,
,1,20,125,125,%,,,,,,
,1,30,50,50,%,,,,,,
,1,20,130,130,%,,,,,,
,1,90,65,65,%,,,,,,
,1,300,80,80,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,80,80,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,80,80,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,120,65,65,%,,,,,,
,1,300,80,80,%,,,,,,
,1,180,95,95,%,,,,,,
,1,60,110,110,%,,,,,,
,1,110,65,65,%,,,,,,
,1,360,75,40,%,,,,,,
