description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: John Levison,1,360,50,75,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,100,100,%,,,,,,
,1,180,50,50,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,180,50,50,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,180,50,50,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,60,115,115,%,,,,,,
,1,60,65,65,%,,,,,,
,1,45,115,115,%,,,,,,
,1,15,65,65,%,,,,,,
,1,30,115,115,%,,,,,,
,1,30,65,65,%,,,,,,
,1,15,115,115,%,,,,,,
,1,45,65,65,%,,,,,,
,1,180,50,50,%,,,,,,
,1,300,100,100,%,,,,,,
,1,360,65,45,%,,,,,,
