description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: John Levison,1,240,40,70,%,,,,,,
,3,15,110,110,%,,30,50,50,%,
,1,60,60,75,%,,,,,,
,3,15,120,120,%,,30,50,50,%,
,1,60,65,80,%,,,,,,
,3,15,130,130,%,,30,50,50,%,
,1,60,60,60,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,80,80,%,,,,,,
,5,20,150,150,%,,40,50,50,%,
,1,150,50,50,%,,,,,,
,6,15,175,175,%,,35,50,50,%,
,1,150,50,50,%,,,,,,
,7,10,200,200,%,,30,50,50,%,
,1,150,50,50,%,,,,,,
,5,20,150,150,%,,40,50,50,%,
,1,150,50,50,%,,,,,,
,6,15,175,175,%,,35,50,50,%,
,1,150,50,50,%,,,,,,
,7,10,200,200,%,,30,50,50,%,
,1,265,65,40,%,,,,,,
