description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: John Levison,1,210,40,55,%,,,,,,
,4,15,110,110,%,,30,50,50,%,
,1,150,50,65,%,,,,,,
,4,15,120,120,%,,30,50,50,%,
,1,150,60,75,%,,,,,,
,4,15,130,130,%,,30,50,50,%,
,1,60,60,60,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,80,80,%,,,,,,
,8,30,150,150,%,,50,50,50,%,
,1,210,50,50,%,,,,,,
,8,20,175,175,%,,40,50,50,%,
,1,210,50,50,%,,,,,,
,8,10,200,200,%,,25,50,50,%,
,1,210,50,50,%,,,,,,
,1,340,75,40,%,,,,,,
