description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: R.Jones (Jinx_sport),1,840,55,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,100,100,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,105,105,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,110,110,%,,,,,,
,1,60,50,50,%,,,,,,
,1,120,65,65,%,,,,,,
,1,180,85,85,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,65,65,%,,,,,,
,1,180,85,85,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,65,65,%,,,,,,
,1,180,85,85,%,,,,,,
,1,120,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,65,65,%,,,,,,
,1,180,82,82,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,120,65,65,%,,,,,,
,1,180,82,82,%,,,,,,
,1,60,90,90,%,,,,,,
,1,60,95,95,%,,,,,,
,1,360,75,55,%,,,,,,
