description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: J.Levison,1,240,45,75,%,,,,,,
,4,15,115,115,%,,30,50,50,%,
,1,30,60,60,%,,,,,,
,4,15,120,120,%,,30,50,50,%,
,1,30,60,60,%,,,,,,
,4,15,125,125,%,,30,50,50,%,
,1,30,60,60,%,,,,,,
,4,15,130,130,%,,30,50,50,%,
,1,30,60,60,%,,,,,,
,1,240,85,85,%,,,,,,
,1,150,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,125,125,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,85,85,%,,,,,,
,1,150,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,125,125,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,85,85,%,,,,,,
,1,150,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,125,125,%,,,,,,
,1,180,50,50,%,,,,,,
,1,240,85,85,%,,,,,,
,1,150,100,100,%,,,,,,
,1,60,115,115,%,,,,,,
,1,30,125,125,%,,,,,,
,1,240,75,45,%,,,,,,
