description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Mark Pearce (Intelligent Triathlon Training),1,360,50,65,%,,,,,,
,1,60,75,75,%,,,,,,
,1,60,83,83,%,,,,,,
,1,60,91,91,%,,,,,,
,1,60,100,100,%,,,,,,
,1,120,60,60,%,,,,,,
,1,60,85,85,%,,,,,,
,1,30,110,110,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,85,85,%,,,,,,
,1,30,119,119,%,,,,,,
,1,30,50,50,%,,,,,,
,1,60,85,85,%,,,,,,
,1,30,125,125,%,,,,,,
,1,30,49,49,%,,,,,,
,1,60,60,60,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,10,186,186,%,,170,110,110,%,
,1,180,50,50,%,,,,,,
,1,300,63,54,%,,,,,,
