description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Laura Siddall,1,480,40,70,%,,,,,,
,5,30,110,110,%,,30,55,55,%,
,1,180,60,60,%,,,,,,
,1,60,104,104,%,,,,,,
,1,120,92,92,%,,,,,,
,1,180,82,82,%,,,,,,
,1,120,92,92,%,,,,,,
,1,60,104,104,%,,,,,,
,1,180,60,60,%,,,,,,
,1,60,105,105,%,,,,,,
,1,120,92,92,%,,,,,,
,1,180,82,82,%,,,,,,
,1,120,92,92,%,,,,,,
,1,60,104,104,%,,,,,,
,1,180,60,60,%,,,,,,
,1,60,105,105,%,,,,,,
,1,120,92,92,%,,,,,,
,1,180,82,82,%,,,,,,
,1,120,92,92,%,,,,,,
,1,60,104,104,%,,,,,,
,1,180,60,60,%,,,,,,
,1,480,70,40,%,,,,,,
